,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349
0,0.02447,0.02448,0.02486,0.03296,0.03305,0.03247,0.03202,0.03147,0.03007,0.02966,0.03026,0.03088,0.03165,0.03201,0.03365,0.03512,0.03775,0.04069,0.04390,0.04816,0.05183,0.05637,0.05969,0.06352,0.06757,0.07132,0.07400,0.07676,0.07906,0.08119,0.08234,0.08279,0.08355,0.08394,0.08447,0.08441,0.08405,0.08349,0.08246,0.08201,0.08086,0.07914,0.07732,0.07583,0.07567,0.07450,0.07425,0.07382,0.07398,0.07413,0.07298,0.07377,0.07517,0.07863,0.08029,0.08260,0.08463,0.08722,0.09003,0.09304,0.09626,0.10091,0.10537,0.10946,0.11259,0.11662,0.11838,0.12034,0.12019,0.11980,0.11965,0.11932,0.11726,0.11411,0.11131,0.10771,0.10373,0.10008,0.09628,0.09240,0.08875,0.08740,0.08605,0.08314,0.07982,0.07831,0.07762,0.07612,0.07590,0.07700,0.07781,0.07788,0.07709,0.07654,0.07622,0.07576,0.07422,0.07275,0.07167,0.07099,0.07023,0.06813,0.06620,0.06430,0.06232,0.06033,0.05743,0.05593,0.05471,0.05325,0.05239,0.05134,0.04947,0.04756,0.04715,0.04677,0.04743,0.04631,0.04652,0.04622,0.04564,0.04497,0.04422,0.04383,0.04394,0.04353,0.04348,0.04254,0.04227,0.04134,0.04010,0.03970,0.03924,0.03818,0.03676,0.03592,0.03375,0.03301,0.03304,0.03282,0.03297,0.03338,0.03480,0.03701,0.03888,0.04081,0.04262,0.04477,0.04761,0.05053,0.05375,0.05664,0.05850,0.06131,0.06312,0.06406,0.06473,0.06563,0.06526,0.06502,0.06419,0.06314,0.06211,0.06136,0.05945,0.05790,0.05661,0.05674,0.05709,0.05629,0.05559,0.05576,0.05526,0.05481,0.05382,0.05293,0.05287,0.05402,0.05397,0.05355,0.05359,0.05382,0.05277,0.05250,0.05214,0.05161,0.05069,0.04990,0.04784,0.04703,0.04593,0.04518,0.04545,0.04436,0.04323,0.04260,0.04184,0.04065,0.03952,0.03854,0.03773,0.03713,0.03597,0.03573,0.03506,0.03444,0.03447,0.03443,0.03393,0.03420,0.03441,0.03429,0.03427,0.03516,0.03581,0.03619,0.03643,0.03649,0.03666,0.03706,0.03674,0.03705,0.03730,0.03671,0.03658,0.03653,0.03631,0.03640,0.03661,0.03665,0.03642,0.03606,0.03566,0.03526,0.03465,0.03462,0.03436,0.03431,0.03404,0.03413,0.03339,0.03411,0.03449,0.03462,0.03450,0.03514,0.03516,0.03557,0.03587,0.03544,0.03543,0.03592,0.03635,0.03628,0.03642,0.03674,0.03639,0.03610,0.03556,0.03497,0.03421,0.03292,0.03196,0.03092,0.03010,0.02927,0.02769,0.02722,0.02631,0.02552,0.02440,0.02407,0.02305,0.02199,0.02135,0.02131,0.02094,0.02102,0.02020,0.02057,0.02113,0.02057,0.02085,0.02062,0.02068,0.02071,0.02047,0.02039,0.02036,0.02030,0.02019,0.01973,0.01940,0.01893,0.01864,0.01814,0.01775,0.01804,0.01752,0.01763,0.01792,0.01805,0.01810,0.01845,0.01931,0.02035,0.02080,0.02196,0.02255,0.02337,0.02344,0.02398,0.02448,0.02461,0.02491,0.02514,0.02530,0.02537,0.02535,0.02522,0.02500,0.02466,0.02420,0.02361,0.02182,0.01685,0.01603,0.01507,0.01397,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.01353
1,0.00214,0.00262,0.00262,0.00258,0.00250,0.00238,0.00223,0.00204,0.00181,0.00136,0.00113,0.00114,0.00091,0.00162,0.00205,0.00181,0.00160,0.00143,0.00127,0.00111,0.00026,0.00041,0.00053,0.00148,0.00184,0.00681,0.00627,0.00583,0.00549,0.00524,0.00499,0.00469,0.00468,0.00442,0.00433,0.00455,0.00425,0.00411,0.00435,0.01509,0.01389,0.01236,0.01701,0.01345,0.00878,0.00621,0.00280,0.00587,0.00507,0.00346,0.00640,0.00841,0.01320,0.02250,0.03712,0.05453,0.07049,0.09476,0.11590,0.13600,0.15843,0.17959,0.20099,0.21763,0.23283,0.24469,0.25394,0.25862,0.26151,0.25903,0.25408,0.24453,0.23305,0.21761,0.19972,0.18284,0.16273,0.14405,0.12553,0.10559,0.08765,0.07156,0.06067,0.05246,0.04351,0.03424,0.02576,0.02298,0.01691,0.01641,0.01725,0.01710,0.01691,0.01599,0.01647,0.01604,0.01633,0.01446,0.01558,0.01409,0.01296,0.01352,0.01357,0.01350,0.01307,0.01295,0.01208,0.01133,0.01085,0.01068,0.00963,0.01174,0.01189,0.01202,0.01165,0.01188,0.01250,0.01214,0.01185,0.01320,0.01340,0.01372,0.01393,0.01440,0.01244,0.01175,0.01354,0.01482,0.01661,0.01759,0.01860,0.02057,0.02118,0.02185,0.02182,0.02146,0.02061,0.01977,0.01896,0.01806,0.01776,0.01836,0.01697,0.01668,0.01645,0.01609,0.01483,0.01380,0.01336,0.01268,0.01184,0.01093,0.00970,0.00865,0.00729,0.00867,0.01027,0.01034,0.01001,0.00998,0.00942,0.00915,0.00904,0.00844,0.00789,0.00737,0.00594,0.00639,0.00714,0.00819,0.00885,0.00913,0.00927,0.01036,0.00936,0.00964,0.00995,0.01034,0.01030,0.01002,0.01007,0.00998,0.00972,0.00927,0.00918,0.00891,0.00922,0.00956,0.00945,0.00947,0.00940,0.00967,0.00956,0.00938,0.00933,0.00901,0.00857,0.00953,0.00929,0.00913,0.00883,0.00859,0.00787,0.00724,0.00648,0.00698,0.00664,0.00530,0.00532,0.00531,0.00515,0.00512,0.00507,0.00537,0.00610,0.00652,0.00678,0.00725,0.00777,0.00818,0.00868,0.00909,0.00928,0.00942,0.00946,0.00935,0.00930,0.00919,0.00875,0.00843,0.00753,0.00704,0.00648,0.00614,0.00558,0.00502,0.00455,0.00393,0.00426,0.00383,0.00346,0.00352,0.00302,0.00331,0.00349,0.00365,0.00382,0.00380,0.00381,0.00381,0.00372,0.00362,0.00355,0.00356,0.00349,0.00319,0.00272,0.00284,0.00321,0.00363,0.00375,0.00448,0.00494,0.00530,0.00562,0.00580,0.00603,0.00605,0.00620,0.00587,0.00611,0.00620,0.00584,0.00647,0.00648,0.00650,0.00664,0.00665,0.00652,0.00635,0.00616,0.00595,0.00576,0.00555,0.00533,0.00491,0.00504,0.00579,0.00595,0.00600,0.00599,0.00618,0.00625,0.00610,0.00588,0.00555,0.00431,0.00445,0.00472,0.00440,0.00476,0.00486,0.00520,0.00588,0.00588,0.00614,0.00668,0.00701,0.00728,0.00671,0.00714,0.00739,0.00781,0.00821,0.00852,0.00877,0.00919,0.00939,0.00933,0.00932,0.00904,0.00852,0.00790,0.00718,0.00638,0.00557,0.00477,0.00522,0.00455,0.00377,0.00345,0.00318,0.00281,0.00213,0.00157,0.00109,0.00102,0.00066,0.00016,-0.00029,0.00052,0.00012,0.00048,0.00078,0.00108,0.00129,0.00138,0.00137,0.00139,0.00132
2,0.02619,0.03707,0.03584,0.03445,0.03288,0.04904,0.04658,0.04514,0.04367,0.04064,0.03773,0.04772,0.04562,0.04148,0.03896,0.03840,0.03814,0.03748,0.05922,0.06653,0.06072,0.06857,0.06357,0.05808,0.05400,0.04972,0.04621,0.04464,0.04247,0.04103,0.03936,0.03849,0.03797,0.03772,0.03699,0.03649,0.03579,0.03387,0.03320,0.02994,0.02550,0.02411,0.02299,0.02164,0.02259,0.02309,0.02500,0.02648,0.02550,0.02854,0.03639,0.04665,0.05462,0.06706,0.07874,0.09482,0.10411,0.11539,0.12799,0.14531,0.16275,0.17367,0.18526,0.19321,0.20063,0.20680,0.21200,0.21306,0.21398,0.21171,0.20851,0.20659,0.20107,0.19442,0.18539,0.17513,0.16341,0.15008,0.13708,0.13010,0.12400,0.11631,0.10609,0.09751,0.08775,0.08042,0.06693,0.06142,0.06010,0.05904,0.05270,0.04423,0.04078,0.03600,0.03579,0.03510,0.03400,0.03142,0.03149,0.02956,0.02797,0.02767,0.02739,0.02699,0.02545,0.02443,0.02348,0.02267,0.02276,0.02221,0.02082,0.01918,0.01679,0.01464,0.01448,0.01234,0.01148,0.01076,0.01126,0.01058,0.00927,0.00876,0.00914,0.00915,0.00889,0.00831,0.00760,0.00701,0.00657,0.00620,0.00706,0.00739,0.00840,0.00791,0.00865,0.00925,0.00976,0.01021,0.00973,0.00947,0.00976,0.01028,0.01009,0.01064,0.01093,0.01132,0.01231,0.01215,0.01270,0.01280,0.01242,0.01225,0.01097,0.01021,0.00932,0.00885,0.00808,0.00742,0.00672,0.00727,0.00726,0.00762,0.00798,0.00758,0.00852,0.00856,0.00861,0.00825,0.00794,0.00883,0.00978,0.00984,0.00987,0.00989,0.00977,0.00998,0.01007,0.01004,0.00996,0.00971,0.00892,0.00863,0.00839,0.00894,0.00902,0.00948,0.00967,0.01003,0.00980,0.01000,0.01025,0.01038,0.01047,0.01056,0.00981,0.00950,0.00924,0.00874,0.00904,0.00944,0.00955,0.00963,0.01055,0.01114,0.01137,0.01287,0.01403,0.01483,0.01508,0.01550,0.01590,0.01648,0.01649,0.01611,0.01597,0.01584,0.01535,0.01478,0.01335,0.01252,0.01123,0.00969,0.00825,0.00668,0.00498,0.00447,0.00295,0.00237,0.00242,0.00136,0.00189,0.00260,0.00367,0.00490,0.00336,0.00404,0.00440,0.00431,0.00426,0.00541,0.00525,0.00480,0.00369,0.00408,0.00424,0.00413,0.00387,0.00397,0.00369,0.00437,0.00433,0.00421,0.00423,0.00428,0.00427,0.00412,0.00417,0.00452,0.00461,0.00474,0.00612,0.00643,0.00678,0.00712,0.00742,0.00755,0.00801,0.00813,0.00861,0.00882,0.00763,0.00758,0.00726,0.00828,0.00794,0.00755,0.00791,0.00867,0.00888,0.00899,0.00950,0.01009,0.01074,0.01124,0.01178,0.01224,0.01288,0.01316,0.01392,0.01392,0.01433,0.01453,0.01457,0.01538,0.01576,0.01552,0.01581,0.01597,0.01582,0.01534,0.01474,0.01424,0.01336,0.01267,0.01156,0.01064,0.01020,0.00934,0.00820,0.00710,0.00665,0.00579,0.00497,0.00415,0.00342,0.00253,0.00176,0.00029,-0.00034,-0.00050,-0.00001,0.00024,0.00056,0.00129,0.00131,0.00133,0.00198,0.00209,0.00219,0.00230,0.00238,0.00246,0.00255,0.00259,0.00261,0.00258,0.00255,0.00248,0.00138,0.00123,0.00119,0.00106,0.00087,0.00065,0.00042,0.00015,-0.00015,-0.00027,0.00008,0.01195
3,0.00169,0.00159,0.00158,0.00145,0.00153,0.00166,0.00169,0.00155,0.00158,0.00154,0.00175,0.00175,0.00261,0.00228,0.00235,0.00243,0.00236,0.00242,0.00246,0.00220,0.00265,0.00306,0.00323,0.00335,0.00573,0.00585,0.00607,0.00630,0.00613,0.00613,0.00570,0.00583,0.00601,0.00612,0.00638,0.00673,0.01713,0.01347,0.00986,0.00751,0.00158,0.00406,0.01379,0.01605,0.01678,0.02005,0.02338,0.02984,0.03886,0.04881,0.06032,0.06955,0.07844,0.08770,0.09587,0.11545,0.12505,0.13312,0.14055,0.14756,0.15471,0.16171,0.16644,0.17220,0.17703,0.17996,0.17977,0.18155,0.18110,0.18075,0.18032,0.17589,0.16911,0.16136,0.15463,0.15276,0.14892,0.14709,0.14507,0.14131,0.13812,0.13210,0.12420,0.11803,0.11180,0.10527,0.09751,0.09066,0.08799,0.08486,0.08504,0.08314,0.08092,0.07999,0.07665,0.07438,0.07290,0.07346,0.07086,0.06897,0.06756,0.06538,0.06563,0.06536,0.06860,0.06951,0.07062,0.07030,0.06903,0.06781,0.06794,0.06633,0.06406,0.06401,0.06361,0.06099,0.05972,0.05836,0.05741,0.05593,0.05540,0.05288,0.04991,0.04703,0.04383,0.04226,0.04034,0.03845,0.03691,0.03629,0.03634,0.03483,0.03387,0.03226,0.03308,0.03220,0.03252,0.03131,0.03065,0.02890,0.02884,0.02840,0.02773,0.02825,0.02794,0.02711,0.02753,0.02705,0.02583,0.02628,0.02562,0.02478,0.02361,0.02273,0.02192,0.02073,0.02040,0.01978,0.01956,0.01866,0.01782,0.01646,0.01712,0.01760,0.01821,0.01745,0.01738,0.01708,0.01601,0.01508,0.01525,0.01527,0.01543,0.01604,0.01585,0.01577,0.01588,0.01582,0.01534,0.01541,0.01476,0.01434,0.01394,0.01366,0.01317,0.01260,0.01220,0.01225,0.01213,0.01226,0.01194,0.01198,0.01223,0.01186,0.01200,0.01204,0.01210,0.01174,0.01099,0.01099,0.01096,0.01065,0.01046,0.01030,0.00978,0.00890,0.00846,0.00775,0.00717,0.00662,0.00609,0.00561,0.00507,0.00475,0.00468,0.00466,0.00490,0.00549,0.00562,0.00579,0.00543,0.00566,0.00558,0.00567,0.00603,0.00604,0.00584,0.00578,0.00574,0.00549,0.00537,0.00534,0.00518,0.00501,0.00473,0.00451,0.00484,0.00482,0.00457,0.00452,0.00436,0.00413,0.00421,0.00442,0.00456,0.00467,0.00463,0.00454,0.00434,0.00428,0.00414,0.00434,0.00421,0.00414,0.00408,0.00389,0.00378,0.00353,0.00356,0.00340,0.00386,0.00413,0.00426,0.00464,0.00461,0.00459,0.00442,0.00468,0.00496,0.00545,0.00564,0.00566,0.00610,0.00633,0.00646,0.00669,0.00671,0.00655,0.00652,0.00617,0.00614,0.00621,0.00605,0.00590,0.00579,0.00557,0.00541,0.00504,0.00528,0.00519,0.00535,0.00530,0.00519,0.00473,0.00291,0.00312,0.00332,0.00168,0.00145,0.00168,0.00193,0.00207,0.00249,0.00261,0.00251,0.00253,0.00249,0.00225,0.00252,0.00247,0.00272,0.00266,0.00256,0.00241,0.00219,0.00191,0.00155,0.00124,0.00121,0.00117,0.00112,0.00090,0.00063,0.00033,0.00049,0.00064,0.00054,0.00039,0.00020,0.00058,0.00055,0.00049,0.00042,0.00033,0.00024,0.00031,0.00025,0.00017,0.00027,0.00010,0.00010,-0.00004,-0.00022,-0.00009,-0.00010,0.00005,0.00132,0.00143,0.00160,0.00215
